id,namaWisata,rating,kategori,Kategori User,Tautan,Link Gambar
41,Pantai Cemara,4.3,"Alam, Pantai","Keluarga, Santai",https://maps.app.goo.gl/SwrYeTxSL7jWL3rV6,https://drive.google.com/file/d/1SbzPhf5AYlHGhYgD3CEN9UmpWqsRlk1d/view?usp=drive_link
42,Watu Langgar,4.5,"Alam, Petualangan",Santai,https://maps.app.goo.gl/vfui8JSD8RyYAcFu7,https://drive.google.com/file/d/1tbXON_hfI8TXqY3DLFYS0cTKV5JewtqR/view?usp=drive_link
43,Air Terjun Mandigu,4.5,"Alam, Petualangan",Petualang,https://maps.app.goo.gl/8V4G8Zt3NaDARjkK9,https://drive.google.com/file/d/1w5gRzRmeOOG7OVPJMyWZwxV4x2HNha2m/view?usp=drive_link
44,Meru Betiri National Park,4.6,"Alam, Pantai, Petualangan",Petualang,https://maps.app.goo.gl/8zBi7vAhD8zCwuii8,https://drive.google.com/file/d/1qI4WYDvO5zUCvdTRzYycpn08x1zYXWxF/view?usp=drive_link
45,Seven Angels waterfall,4.3,"Alam, Petualangan",Petualang,https://maps.app.goo.gl/JpgMAsaFkRs5Ff7L9,https://drive.google.com/file/d/1jNTpRut5k1CyvHd1E0lJV2vwn5t1hSNe/view?usp=drive_link
46,Pantai Canga'an,4.4,"Alam, Pantai, Petualangan",Petualang,https://maps.app.goo.gl/GgY3RfSh2EPrXGz4A,https://drive.google.com/file/d/13a2ac7EjUIzto_iLX7Cjvfc4GVDfkS95/view?usp=drive_link
47,Air Terjun Antrokan Manggisan,4.3,"Alam, Petualangan",Petualang,https://maps.app.goo.gl/5DCMdXjVppPmMd4r7,https://drive.google.com/file/d/13Zre0uOXl9vDtoKEptBf5xsVb04XdUTV/view?usp=drive_link
48,Taman Kota Sumbersari,4.3,Hiburan,"Keluarga, Santai",https://maps.app.goo.gl/ApN86GZreQwvyzbC9,https://drive.google.com/file/d/1dS0a9ayyDRJEYFzpxSskqjRVaBOXGpDn/view?usp=drive_link
49,Wisata Edukasi Pusat Penelitian Kopi Kakao Jember,4.6,Edukasi,"Keluarga, Santai, Fotografi",https://maps.app.goo.gl/zyodG7gnptLJbroS6,https://drive.google.com/file/d/1a5OGHakG-FHFouj5HkvsSDfcutjFZF0C/view?usp=drive_link
50,Monumen Palagan Jumerto,4.5,Sejarah,Pengetahuan,https://maps.app.goo.gl/o19S3wFFVSomdAtF9,https://drive.google.com/file/d/1D8bdZemoW3JFeg9fxiPsVaKUNTK4Wn3e/view?usp=drive_link
51,Pantai Paseban,4.3,"Alam, Pantai","Keluarga, Santai",https://maps.app.goo.gl/pu7MUQyuvCKbTPAV8,https://drive.google.com/file/d/1qEYbkeRPo2NFD4C4IE_HvvDIoOq3qkrY/view?usp=drive_link
52,Pantai Getem,4.3,"Alam, Pantai","Keluarga, Santai, Fotografi",https://maps.app.goo.gl/iam8qBKgJBVgybKo6,https://drive.google.com/file/d/19jFiDWM5j7RsuyBq729HrP4xTW5PRvQg/view?usp=drive_link
53,Wisata Sungai Kalijompo,4.6,"Alam, Petualangan","Keluarga, Santai, Petualang",https://maps.app.goo.gl/au4LJziGPpFJZf1f7,https://drive.google.com/file/d/1boM7jLmT2V_CGpTGJi7n0K1_2_GD5m_2/view?usp=drive_link
54,Rembangan Hotel,4.4,"Alam, Hiburan","Keluarga, Santai",https://maps.app.goo.gl/ZpdgDGHqSinzHVtw9,https://drive.google.com/file/d/1JrBbvOGYa4SQRIIRaqAf8Hz_7nK3Or2p/view?usp=drive_link
55,Pantai Asmara,4.5,"Alam, Pantai","Keluarga, Santai",https://maps.app.goo.gl/p22gg8LHb5ZwUc8L7,https://drive.google.com/file/d/1nkPAD-HcWA-oN6MpoflgTEfF1Q_dRB5k/view?usp=drive_link
